,City,Latitude,Longitude,Temperature,Humidity(%),Cloudiness,Wind Speed,Country,Date
0,morant bay,17.88,-76.41,82.99,88,42,1.01,JM,1603922850
1,luderitz,-26.65,15.16,60.6,67,90,13.47,NA,1603922791
2,acapulco,16.86,-99.89,84.87,70,48,7.76,MX,1603922930
3,nanortalik,60.14,-45.24,32.85,92,100,14.83,GL,1603922970
4,west helena,34.55,-90.64,62.6,100,100,5.82,US,1603923010
5,sao gabriel da cachoeira,-0.13,-67.09,81.01,81,100,1.7,BR,1603923050
6,busselton,-33.65,115.33,57.0,53,0,10.96,AU,1603923090
7,ushuaia,-54.8,-68.3,42.08,76,36,6.62,AR,1603923081
8,shaowu,27.34,117.48,66.04,82,100,1.77,CN,1603923170
9,korla,41.76,86.15,46.0,63,32,10.89,CN,1603923183
10,najran,17.49,44.13,53.44,40,0,1.34,SA,1603923072
11,albany,42.6,-73.97,50.0,89,63,1.83,US,1603923247
12,hithadhoo,-0.6,73.08,82.99,74,4,12.17,MV,1603923150
13,arraial do cabo,-22.97,-42.03,75.29,92,0,10.33,BR,1603923147
14,punta arenas,-53.15,-70.92,48.0,66,83,17.0,CL,1603923141
15,sao filipe,14.9,-24.5,80.1,78,38,3.67,CV,1603923631
16,avarua,-21.21,-159.78,72.57,82,48,18.57,CK,1603923671
17,luvianos,18.92,-100.4,74.52,71,38,4.59,MX,1603923711
18,douentza,15.0,-2.95,82.13,15,84,4.72,ML,1603923751
19,atuona,-9.8,-139.03,78.48,67,51,13.51,PF,1603923498
20,kargopol,61.51,38.95,41.27,94,80,7.49,RU,1603923831
21,santa cruz,-17.8,-63.17,90.66,43,4,13.47,BO,1603923871
22,yar-sale,66.83,70.83,5.31,88,39,14.25,RU,1603923911
23,ribeira grande,38.52,-28.7,66.72,83,3,18.14,PT,1603923952
24,saint-philippe,-21.36,55.77,60.01,95,94,10.6,RE,1603923992
25,morant bay,17.88,-76.41,82.99,87,42,1.99,JM,1603924032
26,luderitz,-26.65,15.16,60.6,67,90,13.47,NA,1603924072
27,acapulco,16.86,-99.89,84.87,70,48,7.76,MX,1603924112
28,nanortalik,60.14,-45.24,32.85,92,100,14.83,GL,1603924152
29,west helena,34.55,-90.64,68.59,98,100,7.49,US,1603923949
30,sao gabriel da cachoeira,-0.13,-67.09,79.21,84,100,1.7,BR,1603924232
31,busselton,-33.65,115.33,48.0,81,0,10.96,AU,1603924130
32,ushuaia,-54.8,-68.3,42.08,76,36,6.62,AR,1603924180
33,shaowu,27.34,117.48,66.31,82,100,1.63,CN,1603924353
34,korla,41.76,86.15,46.0,65,46,1.01,CN,1603924393
35,najran,17.49,44.13,52.77,41,0,1.88,SA,1603924433
36,albany,42.6,-73.97,48.0,89,50,3.31,US,1603924473
37,hithadhoo,-0.6,73.08,83.05,74,3,12.21,MV,1603924400
38,arraial do cabo,-22.97,-42.03,75.52,92,0,11.72,BR,1603924553
39,punta arenas,-53.15,-70.92,48.0,70,86,13.0,CL,1603924436
